arm,instance,model,featurizer,featurizer_args,model_args,dataset,dataset_rows,cross_validation,fold,wall_s,featurize_s,fit_s,predict_s,dataset_load_s,peak_rss_mb,peak_vram_mb,epochs,device,X_shape,n_train,n_test,status,task_cost_usd,task_realtime_s,tier,model_class,compute_class,instance_family
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,0,531.6537348749998,138.7576064110001,335.5970147390001,4.707859778000056,0.4584074940000846,2192.470016,18.906624,79.0,cuda:Tesla T4,"[25428, 'graph']",25428.0,7174.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,1,488.2939963539998,140.58319166499996,289.374928275,4.64035804499963,0.4584074940000846,2261.68832,18.875904,68.0,cuda:Tesla T4,"[25448, 'graph']",25448.0,7154.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,2,470.9423678029998,137.57382796599995,275.8380339710002,4.341969327000243,0.4584074940000846,2283.380736,18.952192,70.0,cuda:Tesla T4,"[23423, 'graph']",23423.0,9179.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,3,442.26981969100007,137.59882978199994,245.72771334900017,4.9454426710003645,0.4584074940000846,2284.744704,18.912256,63.0,cuda:Tesla T4,"[23507, 'graph']",23507.0,9095.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,4,427.70606744199995,140.21708292700032,229.69367240599968,4.417216509000355,0.4584074940000846,2299.53536,18.9056,54.0,cuda:Tesla T4,"[25606, 'graph']",25606.0,6996.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,0,531.6537348749998,138.7576064110001,335.5970147390001,4.707859778000056,0.4584074940000846,2192.470016,18.906624,79.0,cuda:Tesla T4,"[25428, 'graph']",25428.0,7174.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,1,488.2939963539998,140.58319166499996,289.374928275,4.64035804499963,0.4584074940000846,2261.68832,18.875904,68.0,cuda:Tesla T4,"[25448, 'graph']",25448.0,7154.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,2,470.9423678029998,137.57382796599995,275.8380339710002,4.341969327000243,0.4584074940000846,2283.380736,18.952192,70.0,cuda:Tesla T4,"[23423, 'graph']",23423.0,9179.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,3,442.26981969100007,137.59882978199994,245.72771334900017,4.9454426710003645,0.4584074940000846,2284.744704,18.912256,63.0,cuda:Tesla T4,"[23507, 'graph']",23507.0,9095.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
batch_gpu,g4dn.8xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 32, ""num_layers"": 2, ""pooling_operation"": ""sum""}",asoptimizer_cleaned,32602,nucleobase,4,427.70606744199995,140.21708292700032,229.69367240599968,4.417216509000355,0.4584074940000846,2299.53536,18.9056,54.0,cuda:Tesla T4,"[25606, 'graph']",25606.0,6996.0,ok,0.179822232,2370.018,L,GNN,gpu,g4dn
