chunk_id,arm,config_hash,dataset_config_key,dataset_downloader_key,dataset_size_tier,featurizer,featurizer_args_json,featurizer_args_repr,model,model_args_json,model_args_repr,cross_validation,compute_class,queue,est_fitpred_s_per_fold,fitpred_cost_source
corrm_eb463caaaf1021f5,corrective,594ebf5cc4e3a3a6,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""max""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,7925a72679435f84,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""avg""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,26c889eb6a1d1260,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""sum""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,b2e8a18d031fa244,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""max""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,14220ad0b55defe5,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""avg""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,e798b4f6f7a80d51,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""sum""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,375824b78aa5d482,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""max""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,b8a65e1f4bd309c3,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""avg""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,7aa6897b04b5c534,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""sum""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,23.569,measured
corrm_eb463caaaf1021f5,corrective,5b7cf09fc36924f8,acute_neurotox_moe_cleaned,Neurotox MOE,M,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":2,""pooling_operation"":""max""}","{'hidden_dim': 64, 'num_layers': 2, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,23.569,measured
