chunk_id,arm,config_hash,dataset_config_key,dataset_downloader_key,dataset_size_tier,featurizer,featurizer_args_json,featurizer_args_repr,model,model_args_json,model_args_repr,cross_validation,compute_class,queue,est_fitpred_s_per_fold,fitpred_cost_source
prim_94eaece2e1583de8,primary,dd5ddeee207aa567,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""max""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,293.056,measured
prim_94eaece2e1583de8,primary,88e1f27f497a4593,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""avg""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,293.056,measured
prim_94eaece2e1583de8,primary,508e96dc3670adfc,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":1,""pooling_operation"":""sum""}","{'hidden_dim': 32, 'num_layers': 1, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,293.056,measured
prim_25b4f4dd966d3510,primary,b6851f2bb9c9671a,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""max""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,293.056,measured
prim_25b4f4dd966d3510,primary,5b893318fe8c136a,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""avg""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,293.056,measured
prim_25b4f4dd966d3510,primary,370f5b1ce134b38d,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":32,""num_layers"":2,""pooling_operation"":""sum""}","{'hidden_dim': 32, 'num_layers': 2, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,293.056,measured
prim_8f95c45d99df2f7f,primary,e08ba16008f79242,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""max""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,293.056,measured
prim_8f95c45d99df2f7f,primary,f91d0ffe79ffa2eb,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""avg""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'avg'}",nucleobase,gpu,gpu,293.056,measured
prim_8f95c45d99df2f7f,primary,a8d29cd0c95773ce,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":1,""pooling_operation"":""sum""}","{'hidden_dim': 64, 'num_layers': 1, 'pooling_operation': 'sum'}",nucleobase,gpu,gpu,293.056,measured
prim_404a8e17e93eae6f,primary,a3dbe89d972e5c53,asoptimizer_cleaned,ASOptimizer,L,HELMGraph,{},{},GNN,"{""hidden_dim"":64,""num_layers"":2,""pooling_operation"":""max""}","{'hidden_dim': 64, 'num_layers': 2, 'pooling_operation': 'max'}",nucleobase,gpu,gpu,293.056,measured
