chunk_id,arm,dataset_config_key,dataset_downloader_key,dataset_rows,dataset_size_tier,featurizer,featurizer_args_json,cross_validation,queue,mem_class,mem_gb_start,procs,n_configs,n_fold_fits,models,featurize_s_per_fold,featurize_cost_source,est_fixed_s,est_var_s,est_minutes,est_serial_minutes,featurize_share,moe_correction_level,n_groups,merged
corrm_72b6946baa49d949,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,MIXED,MIXED,MIXED,cpu,std_m_p8,16,8,368,1840,"LinearModel,NearestNeighborsModel,RandomForestModel,XGBoostModel",90.844,measured_tier_median,454.0,865.6,22.0,77.52,0.344,none_helm_truncated|partial_base_composition_only,16,True
corrm_c67ce893ef412d16,corrective,MIXED,TLR7|TLR8,192,S,MIXED,MIXED,MIXED,cpu,std_s_p8,16,8,736,3680,"LinearModel,NearestNeighborsModel,RandomForestModel,XGBoostModel",13.338,measured_exact|measured_tier_median,66.6,153.6,3.64,13.34,0.305,n/a,32,True
corr_a264fdd380a34629,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,RNAFMEmbeddings,"{""flatten"":false}",random,gpu,rnafm16,16,1,25,125,Transformer,14.403,measured_tier_median,72.0,1693.9,29.43,29.43,0.041,full_base_sequence,1,False
corrm_eb463caaaf1021f5,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,MIXED,MIXED,MIXED,gpu,std_m_p8,16,8,120,600,"GNN,MLP",93.62,measured_tier_median,468.0,960.0,23.78,85.44,0.328,none_helm_truncated|partial_base_composition_only,14,True
corrm_82afade3aba4dd3e,corrective,MIXED,Neurotox MOE|TLR7|TLR8,2437,M,RNAFMEmbeddings,MIXED,random,gpu,rnafm16,16,1,77,385,"CNN,LinearModel,Transformer",41.762,measured_exact|measured_tier_median,208.8,1135.0,22.4,22.4,0.155,full_base_sequence|n/a,6,True
corrm_31d062a7ad59439b,corrective,MIXED,TLR7|TLR8,192,S,MIXED,MIXED,MIXED,gpu,std_s_p8,16,8,752,3760,"CNN,GNN,GRU,MLP,Transformer",16.944,measured_exact|measured_other_cv|measured_tier_median,84.6,930.4,16.96,76.62,0.083,n/a,36,True
corr_7638f5ea63a2d78a,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",nucleobase,gpu,std_m_p8,16,8,64,320,"CNN,GRU,MLP,Transformer",8.005,measured_tier_median,40.0,716.3,12.61,58.57,0.053,none_helm_truncated,1,False
corr_7b533e0c8c462f52,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",random,gpu,std_m_p8,16,8,64,320,"CNN,GRU,MLP,Transformer",8.005,measured_tier_median,40.0,716.3,12.61,58.57,0.053,none_helm_truncated,1,False
corr_a8b7263f829c3c57,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,OneHotEncoder,"{""encode_components"":[""base""]}",nucleobase,gpu,std_m_p8,16,8,64,320,"CNN,GRU,MLP,Transformer",8.005,measured_tier_median,40.0,716.3,12.61,58.57,0.053,none_helm_truncated,1,False
corr_6e56b7b5f6feea7a,corrective,acute_neurotox_moe_cleaned,Neurotox MOE,2437,M,OneHotEncoder,"{""encode_components"":[""base""]}",random,gpu,std_m_p8,16,8,64,320,"CNN,GRU,MLP,Transformer",8.005,measured_tier_median,40.0,716.3,12.61,58.57,0.053,none_helm_truncated,1,False
