chunk_id,arm,dataset_config_key,dataset_downloader_key,dataset_rows,dataset_size_tier,featurizer,featurizer_args_json,cross_validation,queue,mem_class,mem_gb_start,procs,n_configs,n_fold_fits,models,featurize_s_per_fold,featurize_cost_source,est_fixed_s,est_var_s,est_minutes,est_serial_minutes,featurize_share,moe_correction_level,n_groups,merged
prim_59169541df3f66aa,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",nucleobase,cpu,xl_tree_hi,30,2,15,75,"RandomForestModel,XGBoostModel",889.447,measured_other_cv,4447.2,2478.2,115.42,152.6,0.642,n/a,1,False
prim_f490f75528d07df3,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",random,cpu,xl_tree_hi,30,2,15,75,"RandomForestModel,XGBoostModel",889.447,measured_exact,4447.2,2478.2,115.42,152.6,0.642,n/a,1,False
prim_7fca14ed8fd48995,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base""]}",nucleobase,cpu,xl_tree_hi,30,2,15,75,"RandomForestModel,XGBoostModel",889.447,measured_other_cv,4447.2,2478.2,115.42,152.6,0.642,n/a,1,False
prim_1667ee79424b5be3,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base""]}",random,cpu,xl_tree_hi,30,2,15,75,"RandomForestModel,XGBoostModel",889.447,measured_exact,4447.2,2478.2,115.42,152.6,0.642,n/a,1,False
prim_a47f3ad724ea0bc7,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",889.447,measured_other_cv,4447.2,508.0,82.59,109.68,0.897,n/a,1,False
prim_e5a07a8f5856617f,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base"",""sugar"",""phosphate""]}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",889.447,measured_exact,4447.2,508.0,82.59,109.68,0.897,n/a,1,False
prim_b88216b7338bcd6c,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base""]}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",889.447,measured_other_cv,4447.2,508.0,82.59,109.68,0.897,n/a,1,False
prim_14603f0ecc6e5263,primary,sherwood,Sherwood,291551,XL,OneHotEncoder,"{""encode_components"":[""base""]}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",889.447,measured_exact,4447.2,508.0,82.59,109.68,0.897,n/a,1,False
prim_07b35905cd3aa60a,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":false}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_9a4889c2dce267e2,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":false}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_9477af2e78488da9,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":true}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_6bda0f66424d017d,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":true}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_4d21dd9512806090,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":false}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_a8bfbf068eaa2609,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":false}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_2e4c0aef7bb92d5a,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":true}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_d45f33fc77316bb8,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":true}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_aa5b89c5c0b8a7b7,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1],""modification_abundance"":false}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_81392c02467d0eca,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1],""modification_abundance"":false}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_ac50e164562436a3,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1],""modification_abundance"":true}",nucleobase,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_other_cv,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_099ce5a892a33a6f,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1],""modification_abundance"":true}",random,cpu,xl_tree_hi,30,2,13,65,"RandomForestModel,XGBoostModel",480.639,measured_exact,2403.2,2391.1,79.91,115.77,0.501,n/a,1,False
prim_cbf29ad2da09dde4,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":false}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_other_cv,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_c4b60a241e9f58f1,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":false}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_exact,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_51c491fe773cd0d6,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":true}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_other_cv,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_b1ffd369240a696e,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2,3],""modification_abundance"":true}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_exact,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_ce29dc93e575206c,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":false}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_other_cv,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_22fc7f5b45e05f0a,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":false}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_exact,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_93e7b96aeebef648,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":true}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_other_cv,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_9815ac2fcf141cdb,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1,2],""modification_abundance"":true}",random,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_exact,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
prim_838838618ed98453,primary,sherwood,Sherwood,291551,XL,KMersCounts,"{""k"":[1],""modification_abundance"":false}",nucleobase,cpu,std_xl_p7,30,7,8,40,"LinearModel,NearestNeighborsModel,RandomForestModel",480.639,measured_other_cv,2403.2,508.0,48.52,75.62,0.825,n/a,1,False
